,Star,SpecTypel,Teff,AV,logg_Model,logg_Actual,logg_Actual_2,R/R0,R/R0_2,MV,Mbol,Mbol_2,DeltaAV,Log_Teff,logL_L0,sig_Log_Teff,sig_logL_L0,mass_Mbol,sig_mass_Mbol
0,BD+59°38,M2I,3650,3.1,0.0,0.1,99999.0,600.0,99999.0,-5.57,-7.17,99999.0,0.92,3.5622928644564746,4.764,0.008923859217190105,0.036,16.481623915255085,1.1385133809114936
1,Case23,M3I,3600,3.25,0.5,0.3,99999.0,410.0,99999.0,-4.53,-6.28,99999.0,0.69,3.5563025007672873,4.4079999999999995,0.009047801706317747,0.036,13.427649611378643,0.9275513237600671
2,HD236697,M1.5I,3700,1.55,0.5,0.4,99999.0,380.0,99999.0,-4.8,-6.25,99999.0,-0.04,3.568201724066995,4.396,0.008803266525065915,0.036,13.33521432163324,0.9211660917997014
3,BD+59°274,M1I,3750,1.55,0.5,0.4,99999.0,360.0,99999.0,-4.8,-6.14,99999.0,0.37,3.574031267727719,4.351999999999999,0.008685889638065035,0.036,13.001695780332899,0.8981273456430522
4,BD+60°335,M4I,3525,2.63,0.0,0.1,99999.0,610.0,99999.0,-4.99,-7.05,99999.0,0.22,3.5471591213274176,4.715999999999999,0.0092403081256011,0.036,16.032453906900418,1.107485665301315
5,HD236871,M2I,3625,2.17,0.0,0.2,99999.0,520.0,99999.0,-5.13,-6.8,99999.0,0.03,3.5593080109070123,4.616,0.008985403073860384,0.036,15.135612484362087,1.0455337593974405
6,HD236915,M2I,3650,1.71,0.0,0.3,99999.0,420.0,99999.0,-4.8,-6.4,99999.0,-0.33,3.5622928644564746,4.456,0.008923859217190105,0.036,13.803842646028853,0.9535379343223286
7,BD+59°372,K5–M0I,3825,2.48,0.5,0.6,99999.0,290.0,99999.0,-4.58,-5.77,99999.0,0.45,3.5826314394896364,4.204,0.008515578076534351,0.036,11.93988104464273,0.82477946755096
8,BD+56°512,M3I,3600,3.25,0.5,0.1,99999.0,620.0,99999.0,-5.42,-7.17,99999.0,1.22,3.5563025007672873,4.764,0.009047801706317747,0.036,16.481623915255085,1.1385133809114936
9,HD14469,M3–4I,3575,2.01,0.0,-0.1,99999.0,780.0,99999.0,-5.78,-7.64,99999.0,-0.02,3.5532760461370994,4.952,0.009111073046921367,0.036,18.365383433483466,1.2686395293561037
10,HD14488,M4I,3550,2.63,0.0,-0.3,99999.0,1000.0,99999.0,-6.18,-8.15,99999.0,0.9,3.550228353055094,5.156000000000001,0.009175235533167288,0.036,20.65380155810529,1.4267186819316608
11,HD14528,M4.5I,3500,4.18,-0.5,-0.4,-0.1,1230.0,780.0,-6.36,-8.53,-7.53,2.15,3.5440680443502757,5.308,0.009306310326498252,0.036,22.54239212152429,1.5571786085864097
12,BD+56°595,M1I,3800,1.86,0.0,0.4,99999.0,380.0,99999.0,-5.08,-6.31,99999.0,-0.17,3.57978359661681,4.42,0.00857160161651155,0.036,13.520725631942772,0.9339808161285726
13,HD14580,M1I,3800,2.17,0.5,0.4,99999.0,380.0,99999.0,-5.12,-6.35,99999.0,0.14,3.57978359661681,4.436,0.00857160161651155,0.036,13.645831365889245,0.9426228527198427
14,HD14826,M2I,3625,2.48,0.0,0.0,99999.0,650.0,99999.0,-5.64,-7.31,99999.0,0.45,3.5593080109070123,4.82,0.008985403073860384,0.036,17.0215850839495,1.175812760524396
15,HD236979,M2I,3700,2.32,0.0,0.2,99999.0,540.0,99999.0,-5.52,-6.97,99999.0,0.29,3.568201724066995,4.684,0.008803266525065915,0.036,15.739828644662197,1.087271731151693
16,WPer,M4.5I,3550,4.03,0.0,0.1,99999.0,620.0,99999.0,-5.13,-7.09,99999.0,2.0,3.550228353055094,4.732,0.009175235533167288,0.036,16.18080037643066,1.1177331259328012
17,BD+57°647,M2I,3650,4.03,0.0,0.0,99999.0,710.0,99999.0,-5.91,-7.51,99999.0,2.0,3.5622928644564746,4.9,0.008923859217190105,0.036,17.82378767448089,1.2312272295404114
18,HD17958,K2I,4200,2.17,0.5,0.5,99999.0,360.0,99999.0,-5.93,-6.63,99999.0,-0.12,3.6232492903979003,4.548,0.007755258605415212,0.036,14.554590805819661,1.0053980166318088
19,HD23475,M2.5II,3625,1.08,0.0,,,,,,,,,3.5593080109070123,,0.008985403073860384,0.036,,
20,HD33299,K1I,4300,0.77,0.5,0.9,99999.0,190.0,99999.0,-4.76,-5.37,99999.0,-0.69,3.6334684555795866,4.044,0.007574903754126483,0.036,10.889300933334333,0.7522076668411568
21,HD35601,M1.5I,3700,2.01,0.0,0.2,99999.0,500.0,99999.0,-5.36,-6.81,99999.0,0.55,3.568201724066995,4.62,0.008803266525065915,0.036,15.170503674593368,1.0479439687736005
22,HD36389,...,3650,1.24,0.0,,,,,,,,,3.5622928644564746,,0.008923859217190105,0.036,,
23,HD37536,M2I,3700,1.39,0.0,0.1,99999.0,630.0,99999.0,-5.88,-7.33,99999.0,-0.07,3.568201724066995,4.828,0.008803266525065915,0.036,17.10015315090288,1.1812400772263414
24,alphaOri,M2I,3650,0.62,0.0,,,,,,,,,3.5622928644564746,,0.008923859217190105,0.036,,
25,HD42475,M1I,3700,2.17,0.0,-0.1,99999.0,770.0,99999.0,-6.31,-7.76,99999.0,0.13,3.568201724066995,5.0,0.008803266525065915,0.036,18.879913490962934,1.3041821894211283
26,HD42543,M0I,3800,2.01,0.0,0.0,99999.0,670.0,99999.0,-6.32,-7.55,99999.0,-0.03,3.57978359661681,4.9159999999999995,0.00857160161651155,0.036,17.988709151287875,1.2426196592200285
27,HD44537,M0I,3750,0.62,0.0,,,,,,,,,3.574031267727719,,0.008685889638065035,0.036,,
28,HD50877,K2.5I,3900,0.16,0.5,0.6,99999.0,280.0,99999.0,-4.69,-5.75,99999.0,0.06,3.591064607026499,4.196,0.00835181695967792,0.036,11.88502227437019,0.8209899420633284
29,HD52005,K5I,3900,0.0,0.0,,,,,,,,,3.591064607026499,,0.00835181695967792,0.036,,
30,HD52877,M1.5I,3750,0.16,0.5,0.3,99999.0,420.0,99999.0,-5.14,-6.48,99999.0,0.06,3.574031267727719,4.488,0.008685889638065035,0.036,14.060475241299143,0.9712655662116827
31,CD-31°4916,M2.5I,3600,2.01,0.0,-0.1,0.2,850.0,500.0,-6.11,-7.85,-6.69,0.23,3.5563025007672873,5.036,0.009047801706317747,0.036,19.275249131909366,1.331491149931072
32,HD63302,K2I,4100,0.62,0.0,,,,,,,,,3.6127838567197355,,0.007944411254327778,0.036,,
33,HD90382,M3–M4I,3550,1.86,0.0,-0.3,99999.0,1060.0,99999.0,-6.31,-8.27,99999.0,0.16,3.550228353055094,5.204,0.009175235533167288,0.036,21.23244462000219,1.4666901442319518
34,HD91093,M2I,3625,2.01,0.0,0.0,99999.0,640.0,99999.0,-5.6,-7.28,99999.0,0.5,3.5593080109070123,4.808,0.008985403073860384,0.036,16.90440931643265,1.1677185052248926
35,CPD-57°3502,M1.5I,3700,1.08,0.0,0.2,99999.0,540.0,99999.0,-5.54,-6.99,99999.0,0.15,3.568201724066995,4.692,0.008803266525065915,0.036,15.812480392703835,1.0922903601580676
36,HD303250,M2I,3625,2.94,0.0,-0.1,99999.0,750.0,99999.0,-5.92,-7.6,99999.0,1.24,3.5593080109070123,4.936,0.008985403073860384,0.036,18.197008586099834,1.2570085475671595
37,CD-58°3538,M2I,3625,3.1,0.0,-0.3,99999.0,1090.0,99999.0,-6.74,-8.41,99999.0,1.4,3.5593080109070123,5.26,0.008985403073860384,0.036,21.9280493535045,1.514741079233183
38,HD93420,M4I,3525,1.08,0.0,-0.1,99999.0,790.0,99999.0,-5.53,-7.6,99999.0,0.62,3.5471591213274176,4.936,0.0092403081256011,0.036,18.197008586099834,1.2570085475671595
39,HD94096,M2I,3650,1.86,0.0,-0.2,99999.0,920.0,99999.0,-6.48,-8.08,99999.0,0.16,3.5622928644564746,5.128,0.008923859217190105,0.036,20.32357010936222,1.4039069795947803
40,HD95687,M3I,3625,1.71,0.0,-0.1,99999.0,760.0,99999.0,-5.96,-7.63,99999.0,0.21,3.5593080109070123,4.948,0.008985403073860384,0.036,18.323144223712113,1.2657217331954946
41,HD95950,M2I,3700,1.24,0.0,0.0,99999.0,700.0,99999.0,-6.09,-7.54,99999.0,0.25,3.568201724066995,4.912000000000001,0.008803266525065915,0.036,17.947336268325266,1.2397617072274645
42,HD97671,M3–M4I,3550,2.63,0.0,-0.2,99999.0,860.0,99999.0,-5.85,-7.81,99999.0,1.14,3.550228353055094,5.0200000000000005,0.009175235533167288,0.036,19.098532585662387,1.3192839397987748
43,CD-60°3621,M1.5I,3700,0.77,0.0,0.3,99999.0,440.0,99999.0,-5.11,-6.55,99999.0,0.15,3.568201724066995,4.516,0.008803266525065915,0.036,14.288939585111029,0.9870473959970699
44,HD100930,M2.5I,3600,1.08,0.0,,,,,,,,,3.5563025007672873,,0.009047801706317747,0.036,,
45,CD-60°3636,M0I,3800,0.77,0.5,0.5,99999.0,320.0,99999.0,-4.76,-5.98,99999.0,0.15,3.57978359661681,4.288,0.00857160161651155,0.036,12.531411749414161,0.8656411346778294
46,V396Cen,M3–M4I,3550,2.48,0.0,-0.3,99999.0,1070.0,99999.0,-6.33,-8.29,99999.0,0.16,3.550228353055094,5.212,0.009175235533167288,0.036,21.330449131465762,1.4734600928016706
47,alphaHer,M5I,3450,1.4,0.0,,,,,,,,,3.537819095073274,,0.00944118438920113,0.036,,
48,KWSgr,M1.5I,3700,4.65,-0.5,-0.5,99999.0,1460.0,99999.0,-7.7,-9.15,99999.0,1.81,3.568201724066995,5.556,0.008803266525065915,0.036,26.001595631652723,1.7961332855287035
49,HD175588,M4II,3550,0.47,0.0,,,,,,,,,3.550228353055094,,0.009175235533167288,0.036,,
50,HD181475,M1II,3700,1.39,0.0,,,,,,,,,3.568201724066995,,0.008803266525065915,0.036,,
51,HD339034,K3I,4000,5.27,0.0,-0.2,99999.0,980.0,99999.0,-7.71,-8.63,99999.0,2.34,3.6020599913279625,5.348000000000001,0.008143021535685968,0.036,23.06747188720069,1.593450036086655
52,BD+35°4077,M2.5I,3600,5.27,0.0,-0.3,0.1,1040.0,620.0,-6.55,-8.3,-7.18,2.39,3.5563025007672873,5.216,0.009047801706317747,0.036,21.379620895022324,1.4768567763608083
53,BD+36°4025,M3–M4I,3575,5.11,-0.5,-0.4,99999.0,1240.0,99999.0,-6.78,-8.64,99999.0,2.23,3.5532760461370994,5.352,0.009111073046921367,0.036,23.12064790175595,1.5971233256221664
54,BD+37°3903,M3I,3575,5.58,-0.5,-0.3,99999.0,1140.0,99999.0,-6.61,-8.46,99999.0,2.7,3.5532760461370994,5.28,0.009111073046921367,0.036,22.181964198002195,1.5322809918703124
55,BD+39°4208,M3I,3600,4.49,0.0,-0.2,99999.0,980.0,99999.0,-6.41,-8.15,99999.0,0.69,3.5563025007672873,5.156000000000001,0.009047801706317747,0.036,20.65380155810529,1.4267186819316608
56,HD200905,K4.5I,3800,0.0,0.0,,,,,,,,,3.57978359661681,,0.00857160161651155,0.036,,
57,HD202380,M2I,3700,2.63,0.0,0.1,99999.0,590.0,99999.0,-5.72,-7.16,99999.0,0.59,3.568201724066995,4.76,0.008803266525065915,0.036,16.443717232149325,1.1358948672243854
58,HR8248,K1I,4000,0.93,1.0,0.9,99999.0,200.0,99999.0,-4.2,-5.12,99999.0,-0.82,3.6020599913279625,3.944,0.008143021535685968,0.036,10.280162981264736,0.7101297419917753
59,HD206936,M1I,3700,2.01,-0.5,-0.5,99999.0,1420.0,99999.0,-7.63,-9.08,99999.0,-0.03,3.568201724066995,5.5280000000000005,0.008803266525065915,0.036,25.58585886905645,1.7674150396784643
60,HD210745,K1.5I,4000,0.0,0.0,,,,,,,,,3.6020599913279625,,0.008143021535685968,0.036,,
61,BD+56°2793,M3I,3600,2.32,0.5,0.6,99999.0,290.0,99999.0,-3.73,-5.48,99999.0,0.28,3.5563025007672873,4.088,0.009047801706317747,0.036,11.168632477805613,0.7715032840801919
62,Case75,M2.5I,3650,6.05,-0.5,-0.5,99999.0,1520.0,99999.0,-7.57,-9.17,99999.0,4.1,3.5622928644564746,5.564,0.008923859217190105,0.036,26.121613543992066,1.804423877795386
63,Case78,M2I,3650,4.65,0.0,-0.1,99999.0,770.0,99999.0,-6.09,-7.69,99999.0,2.71,3.5622928644564746,4.9719999999999995,0.008923859217190105,0.036,18.57804455091699,1.2833297142451143
64,HD216946,M0I,3800,0.31,0.5,0.7,99999.0,260.0,99999.0,-4.27,-5.5,99999.0,-0.02,3.57978359661681,4.096,0.00857160161651155,0.036,11.220184543019636,0.7750643890450901
65,Case80,M3I,3625,2.94,0.0,0.1,99999.0,570.0,99999.0,-5.32,-7.0,99999.0,-0.12,3.5593080109070123,4.696,0.008985403073860384,0.036,15.848931924611142,1.0948083548606578
66,Case81,M2I,3700,3.56,0.0,0.1,99999.0,590.0,99999.0,-5.74,-7.19,99999.0,0.5,3.568201724066995,4.772,0.008803266525065915,0.036,16.557699634695286,1.1437685311318857
67,HD219978,M1I,3750,2.17,0.5,0.4,99999.0,410.0,99999.0,-5.1,-6.44,99999.0,-0.42,3.574031267727719,4.4719999999999995,0.008685889638065035,0.036,13.931568029453036,0.9623609310876532
68,BD+60°2613,M3I,3600,4.49,-0.5,-0.7,-0.4,1940.0,1190.0,-7.89,-9.64,8.57,2.38,3.5563025007672873,5.752000000000001,0.009047801706317747,0.036,29.10717118066605,2.010660127026835
69,BD+60°2634,M3I,3600,3.25,0.0,-0.1,99999.0,800.0,99999.0,-5.98,-7.73,99999.0,1.13,3.5563025007672873,4.988,0.009047801706317747,0.036,18.74994508067419,1.295204243312148
